Time, acc_x, acc_y, acc_y, altitude, MPU_x,  MPU_y, MPU_z, 
4341035, 0.36,  -0.26,  0.98,  13808.09,  0.34,  -0.52,  0.74,  
4342035, 0.33,  -0.36,  0.85,  13810.02,  0.32,  -0.62,  0.65,  
4343035, 0.33,  -0.27,  0.88,  13812.70,  0.32,  -0.54,  0.64,  
4344035, 0.34,  -0.31,  0.85,  13815.74,  0.33,  -0.58,  0.64,  
4345034, 0.36,  -0.32,  0.87,  13818.18,  0.33,  -0.59,  0.66,  
4346035, 0.39,  -0.26,  0.95,  13820.00,  0.35,  -0.52,  0.73,  
4347035, 0.37,  -0.32,  0.92,  13822.73,  0.34,  -0.58,  0.73,  
4348036, 0.37,  -0.32,  0.89,  13824.25,  0.34,  -0.59,  0.69,  
4349035, 0.34,  -0.30,  0.92,  13827.38,  0.32,  -0.57,  0.71,  
4350035, 0.34,  -0.35,  0.82,  13829.92,  0.32,  -0.61,  0.60,  
4352035, 0.36,  -0.31,  0.89,  13833.48,  0.34,  -0.59,  0.66,  
4353036, 0.36,  -0.34,  0.88,  13836.56,  0.34,  -0.61,  0.66,  
4354035, 0.34,  -0.34,  0.88,  13839.93,  0.33,  -0.60,  0.67,  
4355036, 0.34,  -0.35,  0.87,  13842.44,  0.33,  -0.63,  0.66,  
4357036, 0.34,  -0.28,  0.88,  13847.63,  0.32,  -0.55,  0.67,  
4358035, 0.34,  -0.31,  0.84,  13849.75,  0.33,  -0.59,  0.63,  
4359035, 0.36,  -0.31,  0.88,  13851.85,  0.34,  -0.59,  0.65,  
4360036, 0.36,  -0.32,  0.88,  13853.56,  0.33,  -0.59,  0.67,  
4362036, 0.33,  -0.35,  0.88,  13857.51,  0.31,  -0.63,  0.66,  
4363035, 0.33,  -0.34,  0.85,  13861.25,  0.32,  -0.60,  0.65,  
4364036, 0.34,  -0.31,  0.85,  13863.01,  0.32,  -0.58,  0.63,  
4365036, 0.34,  -0.32,  0.87,  13867.07,  0.33,  -0.59,  0.65,  
4366035, 0.34,  -0.35,  0.87,  13868.81,  0.32,  -0.62,  0.65,  
4367036, 0.33,  -0.34,  0.89,  13871.50,  0.31,  -0.60,  0.68,  
4368035, 0.34,  -0.32,  0.89,  13873.36,  0.33,  -0.58,  0.67,  
4369036, 0.36,  -0.32,  0.87,  13876.42,  0.33,  -0.60,  0.65,  
4370035, 0.34,  -0.31,  0.89,  13878.87,  0.32,  -0.59,  0.68,  
4371036, 0.33,  -0.32,  0.87,  13879.96,  0.31,  -0.60,  0.64,  
4372036, 0.34,  -0.32,  0.87,  13883.75,  0.32,  -0.60,  0.65,  
4373036, 0.36,  -0.30,  0.92,  13886.00,  0.33,  -0.56,  0.69,  
4374036, 0.36,  -0.32,  0.88,  13889.58,  0.34,  -0.59,  0.67,  
4375036, 0.34,  -0.32,  0.88,  13890.89,  0.33,  -0.60,  0.65,  
4376036, 0.34,  -0.34,  0.87,  13893.63,  0.33,  -0.62,  0.66,  
4377036, 0.34,  -0.36,  0.87,  13896.81,  0.33,  -0.65,  0.64,  
4378036, 0.33,  -0.32,  0.91,  13899.79,  0.32,  -0.59,  0.68,  
4379036, 0.33,  -0.32,  0.87,  13902.95,  0.31,  -0.59,  0.65,  
4380037, 0.34,  -0.28,  0.85,  13905.74,  0.34,  -0.59,  0.65,  
4382036, 0.33,  -0.30,  0.84,  13910.31,  0.32,  -0.57,  0.62,  
4383036, 0.33,  -0.28,  0.85,  13913.09,  0.31,  -0.56,  0.63,  
4384036, 0.34,  -0.34,  0.87,  13914.55,  0.32,  -0.61,  0.65,  
4385037, 0.34,  -0.34,  0.88,  13915.17,  0.33,  -0.61,  0.68,  
4386036, 0.37,  -0.30,  0.94,  13916.53,  0.35,  -0.56,  0.72,  
4387037, 0.36,  -0.35,  0.91,  13918.93,  0.34,  -0.59,  0.70,  
4388036, 0.37,  -0.35,  0.89,  13920.38,  0.36,  -0.62,  0.68,  
4389037, 0.36,  -0.34,  0.89,  13923.37,  0.34,  -0.60,  0.68,  
4390036, 0.34,  -0.34,  0.84,  13926.60,  0.33,  -0.62,  0.61,  
4392037, 0.34,  -0.31,  0.87,  13931.28,  0.31,  -0.58,  0.64,  
4393036, 0.34,  -0.34,  0.88,  13935.06,  0.32,  -0.60,  0.67,  
4394037, 0.37,  -0.36,  0.88,  13936.21,  0.35,  -0.65,  0.66,  
4395037, 0.36,  -0.28,  0.94,  13937.26,  0.33,  -0.54,  0.73,  
4397037, 0.37,  -0.28,  0.89,  13943.92,  0.35,  -0.57,  0.68,  
4398036, 0.36,  -0.28,  0.85,  13947.85,  0.33,  -0.55,  0.63,  
4399037, 0.34,  -0.28,  0.87,  13949.69,  0.32,  -0.56,  0.65,  
4400037, 0.36,  -0.30,  0.88,  13951.79,  0.33,  -0.56,  0.66,  
4402037, 0.34,  -0.39,  0.87,  13956.21,  0.33,  -0.66,  0.67,  
4403037, 0.33,  -0.32,  0.91,  13958.76,  0.32,  -0.59,  0.70,  
4404037, 0.33,  -0.31,  0.88,  13962.57,  0.33,  -0.60,  0.66,  
4405038, 0.31,  -0.30,  0.88,  13965.79,  0.30,  -0.56,  0.66,  
4407037, 0.34,  -0.27,  0.89,  13970.55,  0.32,  -0.54,  0.68,  
4408037, 0.36,  -0.32,  0.85,  13972.50,  0.33,  -0.59,  0.65,  
4409037, 0.34,  -0.30,  0.89,  13973.78,  0.33,  -0.58,  0.67,  
4410038, 0.34,  -0.36,  0.84,  13974.25,  0.33,  -0.64,  0.64,  
4411037, 0.36,  -0.32,  0.91,  13976.99,  0.34,  -0.60,  0.70,  
4412038, 0.36,  -0.31,  0.91,  13978.66,  0.33,  -0.57,  0.70,  
4413037, 0.36,  -0.31,  0.88,  13982.44,  0.34,  -0.58,  0.67,  
4414038, 0.33,  -0.32,  0.88,  13984.07,  0.32,  -0.59,  0.66,  
4415037, 0.33,  -0.30,  0.91,  13985.87,  0.31,  -0.57,  0.68,  
4417037, 0.40,  -0.25,  0.95,  13991.62,  0.35,  -0.51,  0.72,  
4418037, 0.37,  -0.32,  0.88,  13994.39,  0.35,  -0.59,  0.67,  
4419038, 0.36,  -0.34,  0.88,  13997.72,  0.33,  -0.61,  0.66,  
4420038, 0.33,  -0.35,  0.87,  13999.21,  0.32,  -0.62,  0.66,  
4422037, 0.33,  -0.32,  0.87,  14004.67,  0.32,  -0.60,  0.64,  
4423037, 0.33,  -0.32,  0.88,  14008.85,  0.32,  -0.59,  0.66,  
4424038, 0.34,  -0.32,  0.88,  14011.26,  0.33,  -0.60,  0.67,  
4425038, 0.34,  -0.30,  0.91,  14013.03,  0.32,  -0.57,  0.68,  
4426038, 0.34,  -0.30,  0.88,  14014.16,  0.33,  -0.57,  0.67,  
4427037, 0.34,  -0.31,  0.88,  14016.20,  0.33,  -0.58,  0.66,  
4428038, 0.34,  -0.34,  0.88,  14019.45,  0.33,  -0.61,  0.66,  
4429038, 0.34,  -0.31,  0.89,  14020.17,  0.33,  -0.59,  0.67,  
4430038, 0.34,  -0.32,  0.88,  14023.28,  0.33,  -0.60,  0.66,  
4431038, 0.34,  -0.32,  0.88,  14025.50,  0.33,  -0.60,  0.67,  
4432037, 0.34,  -0.32,  0.89,  14028.56,  0.33,  -0.59,  0.67,  
4433038, 0.36,  -0.31,  0.88,  14032.14,  0.33,  -0.58,  0.68,  
4434038, 0.34,  -0.32,  0.88,  14033.42,  0.33,  -0.59,  0.67,  
4435038, 0.34,  -0.35,  0.84,  14036.51,  0.33,  -0.63,  0.63,  
4437038, 0.34,  -0.34,  0.87,  14041.45,  0.32,  -0.60,  0.65,  
4438038, 0.36,  -0.34,  0.87,  14043.16,  0.34,  -0.62,  0.65,  
4439038, 0.34,  -0.35,  0.87,  14046.26,  0.34,  -0.61,  0.64,  
4440038, 0.34,  -0.32,  0.88,  14047.98,  0.33,  -0.59,  0.67,  
4442038, 0.36,  -0.32,  0.88,  14053.10,  0.33,  -0.60,  0.65,  
4443038, 0.34,  -0.31,  0.85,  14055.18,  0.32,  -0.59,  0.64,  
4444039, 0.34,  -0.31,  0.88,  14058.63,  0.33,  -0.58,  0.65,  
4445038, 0.34,  -0.31,  0.89,  14062.49,  0.33,  -0.58,  0.68,  
4447038, 0.34,  -0.32,  0.88,  14066.59,  0.33,  -0.60,  0.66,  
4448038, 0.33,  -0.34,  0.88,  14068.45,  0.32,  -0.60,  0.68,  
4449038, 0.34,  -0.35,  0.88,  14072.32,  0.34,  -0.62,  0.67,  
4450037, 0.34,  -0.34,  0.85,  14073.43,  0.33,  -0.61,  0.63,  
4452038, 0.33,  -0.30,  0.87,  14078.75,  0.32,  -0.58,  0.63,  
4453039, 0.33,  -0.28,  0.84,  14081.99,  0.30,  -0.56,  0.62,  
4454038, 0.34,  -0.32,  0.87,  14083.26,  0.32,  -0.60,  0.63,  
4455038, 0.36,  -0.32,  0.89,  14084.79,  0.34,  -0.59,  0.68,  
4457038, 0.39,  -0.32,  0.89,  14089.14,  0.35,  -0.59,  0.70,  
4458039, 0.39,  -0.28,  0.98,  14092.42,  0.35,  -0.54,  0.75,  
4459038, 0.36,  -0.28,  0.98,  14092.62,  0.34,  -0.55,  0.76,  
4460039, 0.34,  -0.35,  0.87,  14096.27,  0.33,  -0.63,  0.67,  
4462039, 0.34,  -0.32,  0.81,  14101.14,  0.33,  -0.60,  0.59,  
4463039, 0.34,  -0.28,  0.88,  14104.71,  0.32,  -0.56,  0.66,  
4464038, 0.34,  -0.32,  0.92,  14106.13,  0.32,  -0.57,  0.71,  
4465039, 0.36,  -0.35,  0.88,  14107.42,  0.34,  -0.63,  0.65,  
4467039, 0.36,  -0.36,  0.89,  14114.49,  0.33,  -0.64,  0.68,  
4468039, 0.34,  -0.41,  0.82,  14117.87,  0.33,  -0.69,  0.63,  
4469039, 0.36,  -0.30,  0.87,  14120.24,  0.33,  -0.58,  0.64,  
4470039, 0.34,  -0.30,  0.84,  14122.89,  0.32,  -0.55,  0.62,  
4472039, 0.36,  -0.35,  0.87,  14127.22,  0.34,  -0.63,  0.65,  
4473039, 0.33,  -0.36,  0.88,  14129.02,  0.33,  -0.63,  0.68,  
4474039, 0.36,  -0.35,  0.88,  14131.03,  0.33,  -0.62,  0.67,  
4475039, 0.39,  -0.27,  0.94,  14134.85,  0.35,  -0.55,  0.71,  
4477039, 0.36,  -0.30,  0.87,  14139.42,  0.33,  -0.58,  0.64,  
4478040, 0.33,  -0.31,  0.87,  14142.00,  0.32,  -0.58,  0.65,  
4479039, 0.34,  -0.30,  0.91,  14144.98,  0.32,  -0.56,  0.69,  
4480040, 0.36,  -0.32,  0.91,  14147.04,  0.33,  -0.58,  0.70,  
4482039, 0.36,  -0.31,  0.91,  14151.83,  0.33,  -0.58,  0.69,  
4483040, 0.34,  -0.30,  0.89,  14155.25,  0.32,  -0.57,  0.67,  
4484039, 0.31,  -0.31,  0.87,  14158.37,  0.31,  -0.58,  0.64,  
4485040, 0.31,  -0.31,  0.85,  14161.58,  0.30,  -0.60,  0.63,  
4487040, 0.34,  -0.31,  0.88,  14164.91,  0.33,  -0.58,  0.67,  
4488040, 0.34,  -0.34,  0.88,  14167.97,  0.33,  -0.61,  0.67,  
4489039, 0.34,  -0.34,  0.89,  14168.37,  0.33,  -0.60,  0.68,  
4490040, 0.36,  -0.35,  0.88,  14170.90,  0.34,  -0.62,  0.67,  
4492040, 0.34,  -0.31,  0.87,  14176.45,  0.33,  -0.58,  0.65,  
4493040, 0.34,  -0.27,  0.85,  14178.68,  0.32,  -0.55,  0.63,  
4494040, 0.34,  -0.28,  0.85,  14181.55,  0.32,  -0.56,  0.64,  
4495039, 0.36,  -0.30,  0.91,  14183.11,  0.34,  -0.56,  0.69,  
4497040, 0.37,  -0.31,  0.91,  14186.27,  0.35,  -0.58,  0.69,  
4498040, 0.37,  -0.31,  0.91,  14189.02,  0.35,  -0.58,  0.70,  
4499040, 0.37,  -0.34,  0.91,  14191.48,  0.34,  -0.60,  0.69,  
4500040, 0.34,  -0.32,  0.88,  14195.82,  0.32,  -0.59,  0.67,  
4502040, 0.33,  -0.31,  0.88,  14199.75,  0.31,  -0.59,  0.66,  
4503041, 0.36,  -0.30,  0.89,  14204.58,  0.33,  -0.57,  0.65,  
4504040, 0.33,  -0.31,  0.89,  14206.40,  0.32,  -0.57,  0.66,  
4505039, 0.34,  -0.36,  0.85,  14208.50,  0.34,  -0.63,  0.65,  
4507040, 0.33,  -0.34,  0.88,  14214.56,  0.32,  -0.61,  0.66,  
4508041, 0.34,  -0.31,  0.87,  14218.78,  0.33,  -0.59,  0.64,  
4509040, 0.36,  -0.30,  0.87,  14221.07,  0.33,  -0.57,  0.65,  
4510041, 0.33,  -0.34,  0.85,  14222.97,  0.32,  -0.61,  0.64,  
4512040, 0.34,  -0.36,  0.87,  14228.70,  0.34,  -0.64,  0.65,  
4513040, 0.36,  -0.37,  0.87,  14228.84,  0.34,  -0.66,  0.64,  
4514040, 0.34,  -0.34,  0.88,  14232.07,  0.32,  -0.60,  0.68,  
4515040, 0.36,  -0.31,  0.85,  14235.16,  0.33,  -0.58,  0.64,  
4517041, 0.34,  -0.31,  0.87,  14240.89,  0.33,  -0.58,  0.65,  
4518040, 0.34,  -0.32,  0.87,  14243.09,  0.33,  -0.60,  0.65,  
4519041, 0.39,  -0.30,  0.91,  14244.23,  0.36,  -0.56,  0.69,  
4520041, 0.36,  -0.31,  0.92,  14247.19,  0.33,  -0.58,  0.71,  
4522041, 0.36,  -0.27,  0.94,  14252.15,  0.33,  -0.54,  0.72,  
4523040, 0.34,  -0.30,  0.85,  14254.41,  0.32,  -0.57,  0.64,  
4524041, 0.37,  -0.25,  0.92,  14256.98,  0.32,  -0.51,  0.69,  
4525041, 0.33,  -0.27,  0.95,  14260.10,  0.30,  -0.52,  0.73,  
4527041, 0.34,  -0.31,  0.92,  14264.85,  0.32,  -0.59,  0.70,  
4528040, 0.34,  -0.34,  0.88,  14267.06,  0.32,  -0.62,  0.67,  
4529041, 0.33,  -0.34,  0.87,  14270.63,  0.32,  -0.61,  0.64,  
4530041, 0.34,  -0.31,  0.87,  14272.85,  0.33,  -0.58,  0.64,  
4532041, 0.33,  -0.34,  0.87,  14277.51,  0.32,  -0.61,  0.64,  
4533041, 0.34,  -0.31,  0.89,  14280.61,  0.32,  -0.58,  0.68,  
4534041, 0.33,  -0.31,  0.89,  14283.22,  0.31,  -0.58,  0.68,  
4535041, 0.34,  -0.32,  0.89,  14284.95,  0.32,  -0.60,  0.66,  
4537041, 0.34,  -0.32,  0.87,  14289.45,  0.33,  -0.59,  0.65,  
4538041, 0.34,  -0.31,  0.88,  14292.31,  0.33,  -0.58,  0.66,  
4539041, 0.33,  -0.30,  0.88,  14296.28,  0.31,  -0.58,  0.66,  
4540042, 0.33,  -0.35,  0.82,  14297.36,  0.31,  -0.63,  0.60,  
4542042, 0.34,  -0.34,  0.91,  14302.34,  0.32,  -0.61,  0.69,  
4543041, 0.34,  -0.35,  0.87,  14304.41,  0.33,  -0.63,  0.66,  
4544041, 0.33,  -0.35,  0.88,  14306.60,  0.31,  -0.62,  0.66,  
4545041, 0.33,  -0.31,  0.88,  14309.40,  0.30,  -0.58,  0.68,  
4547042, 0.34,  -0.27,  0.88,  14313.95,  0.31,  -0.53,  0.67,  
4548041, 0.36,  -0.28,  0.91,  14316.44,  0.33,  -0.55,  0.68,  
4549042, 0.39,  -0.27,  0.94,  14318.44,  0.35,  -0.54,  0.72,  
4550042, 0.37,  -0.27,  0.94,  14320.77,  0.34,  -0.53,  0.73,  
4552042, 0.37,  -0.35,  0.88,  14326.44,  0.34,  -0.62,  0.67,  
4553041, 0.34,  -0.32,  0.88,  14327.87,  0.32,  -0.60,  0.68,  
4554042, 0.33,  -0.34,  0.85,  14329.98,  0.31,  -0.60,  0.63,  
4555042, 0.33,  -0.31,  0.85,  14333.05,  0.31,  -0.58,  0.64,  
4557042, 0.36,  -0.34,  0.89,  14339.12,  0.34,  -0.61,  0.68,  
4558042, 0.37,  -0.31,  0.92,  14339.72,  0.35,  -0.57,  0.71,  
4559042, 0.36,  -0.28,  0.94,  14344.23,  0.32,  -0.55,  0.73,  
4560041, 0.36,  -0.32,  0.88,  14348.46,  0.33,  -0.59,  0.67,  
4562042, 0.36,  -0.28,  0.88,  14353.89,  0.32,  -0.54,  0.67,  
4563042, 0.34,  -0.30,  0.89,  14355.31,  0.32,  -0.56,  0.67,  
4564042, 0.36,  -0.30,  0.89,  14357.77,  0.32,  -0.56,  0.69,  
4565042, 0.34,  -0.31,  0.89,  14360.21,  0.31,  -0.58,  0.68,  
4567043, 0.33,  -0.30,  0.91,  14364.11,  0.31,  -0.57,  0.69,  
4568042, 0.31,  -0.31,  0.91,  14366.39,  0.30,  -0.58,  0.68,  
4569042, 0.33,  -0.32,  0.88,  14368.35,  0.32,  -0.59,  0.68,  
4570042, 0.34,  -0.35,  0.85,  14372.59,  0.33,  -0.62,  0.64,  
4572043, 0.33,  -0.32,  0.88,  14377.60,  0.31,  -0.60,  0.66,  
4573042, 0.33,  -0.34,  0.85,  14380.66,  0.32,  -0.62,  0.63,  
4574043, 0.33,  -0.32,  0.89,  14383.77,  0.32,  -0.59,  0.67,  
4575043, 0.34,  -0.31,  0.89,  14385.25,  0.32,  -0.59,  0.68,  
4577042, 0.34,  -0.34,  0.87,  14390.89,  0.33,  -0.62,  0.65,  
4578042, 0.34,  -0.35,  0.85,  14392.81,  0.32,  -0.62,  0.64,  
4579043, 0.33,  -0.32,  0.88,  14395.74,  0.32,  -0.60,  0.67,  
4580042, 0.33,  -0.34,  0.87,  14397.77,  0.32,  -0.62,  0.65,  
4582042, 0.33,  -0.31,  0.85,  14403.42,  0.31,  -0.59,  0.64,  
4583043, 0.31,  -0.32,  0.87,  14406.96,  0.30,  -0.59,  0.65,  
4584043, 0.33,  -0.32,  0.88,  14408.71,  0.31,  -0.59,  0.66,  
4585042, 0.33,  -0.34,  0.88,  14412.10,  0.32,  -0.61,  0.67,  
4587042, 0.34,  -0.32,  0.88,  14415.84,  0.32,  -0.61,  0.67,  
4588043, 0.34,  -0.30,  0.91,  14419.65,  0.32,  -0.57,  0.68,  
4589043, 0.34,  -0.32,  0.88,  14422.17,  0.33,  -0.60,  0.67,  
4590044, 0.34,  -0.31,  0.87,  14425.83,  0.32,  -0.58,  0.65,  
4592043, 0.34,  -0.28,  0.88,  14430.39,  0.31,  -0.56,  0.67,  
4593043, 0.36,  -0.31,  0.87,  14431.46,  0.33,  -0.58,  0.66,  
4594043, 0.34,  -0.34,  0.88,  14434.24,  0.32,  -0.60,  0.67,  
4595044, 0.34,  -0.35,  0.88,  14434.49,  0.33,  -0.62,  0.67,  
4597043, 0.36,  -0.35,  0.88,  14440.40,  0.34,  -0.62,  0.67,  
4598043, 0.34,  -0.30,  0.88,  14443.19,  0.32,  -0.57,  0.66,  
4599044, 0.34,  -0.31,  0.84,  14444.42,  0.32,  -0.58,  0.61,  
4600044, 0.34,  -0.31,  0.88,  14448.09,  0.33,  -0.58,  0.65,  
4602043, 0.36,  -0.35,  0.87,  14453.09,  0.34,  -0.62,  0.64,  
4603043, 0.36,  -0.31,  0.92,  14456.79,  0.34,  -0.57,  0.69,  
4604044, 0.34,  -0.35,  0.88,  14458.77,  0.33,  -0.62,  0.68,  
4605042, 0.34,  -0.32,  0.89,  14460.88,  0.32,  -0.59,  0.67,  
4607043, 0.34,  -0.30,  0.87,  14467.59,  0.32,  -0.56,  0.64,  
4608044, 0.34,  -0.27,  0.92,  14469.18,  0.32,  -0.52,  0.70,  
4609044, 0.36,  -0.32,  0.89,  14470.97,  0.34,  -0.59,  0.67,  
4610042, 0.34,  -0.34,  0.91,  14473.11,  0.32,  -0.58,  0.71,  
4612043, 0.36,  -0.32,  0.89,  14480.65,  0.34,  -0.59,  0.68,  
4613044, 0.33,  -0.28,  0.89,  14482.97,  0.31,  -0.55,  0.68,  
4614043, 0.33,  -0.28,  0.87,  14486.43,  0.31,  -0.55,  0.64,  
4615044, 0.34,  -0.28,  0.89,  14487.60,  0.32,  -0.54,  0.68,  
4617043, 0.34,  -0.35,  0.85,  14492.13,  0.33,  -0.63,  0.64,  
4618044, 0.34,  -0.35,  0.88,  14493.35,  0.33,  -0.64,  0.66,  
4619043, 0.33,  -0.32,  0.91,  14497.06,  0.32,  -0.60,  0.70,  
4620045, 0.33,  -0.32,  0.84,  14500.31,  0.31,  -0.60,  0.63,  
4622044, 0.36,  -0.31,  0.87,  14505.57,  0.33,  -0.58,  0.66,  
4623044, 0.33,  -0.32,  0.88,  14509.21,  0.31,  -0.60,  0.66,  
4624044, 0.34,  -0.34,  0.88,  14511.17,  0.33,  -0.60,  0.68,  
4625043, 0.36,  -0.32,  0.91,  14513.00,  0.32,  -0.58,  0.69,  
4627044, 0.37,  -0.30,  0.87,  14518.44,  0.34,  -0.58,  0.66,  
4628044, 0.36,  -0.28,  0.87,  14521.42,  0.33,  -0.55,  0.65,  
4629044, 0.37,  -0.28,  0.87,  14522.18,  0.34,  -0.56,  0.64,  
4630045, 0.37,  -0.27,  0.92,  14525.46,  0.34,  -0.53,  0.72,  
4632044, 0.36,  -0.34,  0.89,  14530.68,  0.34,  -0.60,  0.69,  
4633044, 0.34,  -0.32,  0.89,  14533.66,  0.32,  -0.60,  0.70,  
4634044, 0.36,  -0.30,  0.91,  14534.74,  0.33,  -0.57,  0.69,  
4635045, 0.34,  -0.30,  0.85,  14538.23,  0.32,  -0.58,  0.66,  
4637044, 0.34,  -0.31,  0.87,  14543.10,  0.32,  -0.60,  0.65,  
4638045, 0.33,  -0.30,  0.87,  14545.87,  0.32,  -0.58,  0.66,  
4639044, 0.36,  -0.32,  0.88,  14549.32,  0.34,  -0.60,  0.66,  
4640046, 0.36,  -0.32,  0.87,  14550.90,  0.33,  -0.60,  0.65,  
4642044, 0.34,  -0.31,  0.91,  14554.66,  0.32,  -0.57,  0.70,  
4643045, 0.34,  -0.32,  0.92,  14558.15,  0.32,  -0.59,  0.70,  
4644044, 0.34,  -0.34,  0.88,  14559.93,  0.33,  -0.61,  0.66,  
4645044, 0.33,  -0.32,  0.85,  14563.63,  0.32,  -0.60,  0.63,  
4647045, 0.33,  -0.30,  0.88,  14568.48,  0.31,  -0.57,  0.66,  
4648045, 0.36,  -0.34,  0.88,  14571.39,  0.33,  -0.62,  0.65,  
4649044, 0.34,  -0.35,  0.85,  14572.57,  0.33,  -0.62,  0.64,  
4650045, 0.34,  -0.31,  0.91,  14576.93,  0.33,  -0.58,  0.69,  
4652045, 0.33,  -0.32,  0.85,  14579.65,  0.32,  -0.60,  0.63,  
4653045, 0.36,  -0.30,  0.87,  14582.79,  0.33,  -0.57,  0.64,  
4654045, 0.36,  -0.32,  0.85,  14587.33,  0.34,  -0.59,  0.64,  
4655045, 0.36,  -0.31,  0.89,  14589.84,  0.34,  -0.58,  0.68,  
4657045, 0.34,  -0.35,  0.89,  14593.75,  0.33,  -0.63,  0.68,  
4658045, 0.34,  -0.40,  0.84,  14595.88,  0.33,  -0.69,  0.64,  
4659045, 0.33,  -0.34,  0.88,  14599.82,  0.32,  -0.62,  0.66,  
4660046, 0.31,  -0.30,  0.89,  14601.65,  0.30,  -0.56,  0.69,  
4662045, 0.34,  -0.32,  0.82,  14609.89,  0.33,  -0.60,  0.62,  
4663046, 0.34,  -0.27,  0.87,  14611.68,  0.31,  -0.55,  0.65,  
4664045, 0.34,  -0.28,  0.87,  14614.00,  0.32,  -0.56,  0.65,  
4665046, 0.33,  -0.30,  0.89,  14616.13,  0.31,  -0.57,  0.67,  
4667045, 0.36,  -0.34,  0.91,  14619.86,  0.35,  -0.61,  0.69,  
4668046, 0.37,  -0.34,  0.91,  14622.59,  0.35,  -0.61,  0.69,  
4669045, 0.36,  -0.36,  0.89,  14624.88,  0.34,  -0.63,  0.67,  
4670046, 0.34,  -0.32,  0.88,  14626.85,  0.33,  -0.60,  0.66,  
4672046, 0.33,  -0.31,  0.85,  14633.24,  0.32,  -0.59,  0.63,  
4673046, 0.34,  -0.31,  0.87,  14635.98,  0.33,  -0.58,  0.65,  
4674045, 0.34,  -0.34,  0.88,  14636.12,  0.34,  -0.61,  0.67,  
4675045, 0.34,  -0.35,  0.88,  14641.42,  0.33,  -0.62,  0.68,  
4677046, 0.34,  -0.32,  0.85,  14646.36,  0.32,  -0.60,  0.63,  
4678046, 0.33,  -0.30,  0.85,  14650.71,  0.31,  -0.57,  0.63,  
4679046, 0.33,  -0.32,  0.87,  14652.48,  0.31,  -0.60,  0.64,  
4680046, 0.34,  -0.32,  0.88,  14653.98,  0.32,  -0.59,  0.67,  
4682046, 0.37,  -0.34,  0.88,  14659.26,  0.34,  -0.60,  0.68,  
4683045, 0.36,  -0.32,  0.91,  14663.14,  0.34,  -0.60,  0.69,  
4684046, 0.34,  -0.31,  0.89,  14664.42,  0.32,  -0.59,  0.66,  
4685046, 0.33,  -0.30,  0.85,  14669.85,  0.32,  -0.58,  0.63,  
4687046, 0.34,  -0.32,  0.87,  14672.96,  0.33,  -0.59,  0.65,  
4688046, 0.39,  -0.27,  0.98,  14676.28,  0.34,  -0.53,  0.76,  
4689046, 0.36,  -0.28,  0.95,  14678.46,  0.32,  -0.54,  0.74,  
4690046, 0.34,  -0.35,  0.88,  14681.62,  0.33,  -0.62,  0.68,  
4692046, 0.34,  -0.32,  0.87,  14687.03,  0.34,  -0.59,  0.66,  
4693046, 0.34,  -0.26,  0.88,  14690.49,  0.32,  -0.52,  0.66,  
4694046, 0.34,  -0.30,  0.87,  14693.38,  0.32,  -0.55,  0.66,  
4695046, 0.30,  -0.23,  1.02,  14695.50,  0.27,  -0.48,  0.82,  
4697047, 0.34,  -0.39,  0.84,  14699.09,  0.33,  -0.66,  0.64,  
4698046, 0.36,  -0.36,  0.85,  14701.96,  0.35,  -0.64,  0.64,  
4699046, 0.37,  -0.32,  0.88,  14706.24,  0.35,  -0.59,  0.67,  
4700046, 0.34,  -0.26,  0.89,  14708.50,  0.32,  -0.54,  0.67,  
4702047, 0.37,  -0.30,  0.87,  14712.44,  0.35,  -0.57,  0.67,  
4703046, 0.39,  -0.28,  0.92,  14717.16,  0.34,  -0.53,  0.73,  
4704047, 0.37,  -0.32,  0.88,  14719.42,  0.34,  -0.59,  0.69,  
4705046, 0.37,  -0.31,  0.88,  14722.16,  0.35,  -0.59,  0.69,  
4707047, 0.34,  -0.27,  0.87,  14731.49,  0.33,  -0.55,  0.63,  
4708046, 0.34,  -0.31,  0.84,  14732.57,  0.32,  -0.57,  0.63,  
4709047, 0.34,  -0.34,  0.88,  14734.32,  0.32,  -0.60,  0.67,  
4710047, 0.33,  -0.34,  0.88,  14735.37,  0.32,  -0.61,  0.67,  
4712047, 0.34,  -0.34,  0.88,  14741.67,  0.33,  -0.62,  0.66,  
4713047, 0.33,  -0.31,  0.92,  14745.77,  0.32,  -0.58,  0.71,  
4714047, 0.34,  -0.31,  0.84,  14748.75,  0.33,  -0.58,  0.62,  
4715046, 0.33,  -0.34,  0.84,  14752.62,  0.32,  -0.61,  0.63,  
4717047, 0.33,  -0.34,  0.85,  14757.54,  0.32,  -0.60,  0.65,  
4718047, 0.34,  -0.36,  0.87,  14759.91,  0.33,  -0.64,  0.66,  
4719047, 0.34,  -0.34,  0.87,  14761.30,  0.34,  -0.61,  0.66,  
4720047, 0.36,  -0.34,  0.85,  14764.87,  0.34,  -0.61,  0.64,  
4722048, 0.34,  -0.31,  0.88,  14768.34,  0.33,  -0.59,  0.66,  
4723047, 0.33,  -0.32,  0.88,  14772.35,  0.32,  -0.59,  0.66,  
4724047, 0.34,  -0.34,  0.85,  14775.48,  0.33,  -0.62,  0.64,  
4725047, 0.33,  -0.34,  0.85,  14777.97,  0.32,  -0.61,  0.64,  
