Time, x, y, z, temperature, BMP_altitude, BMP_temperature, BMP_pressure, Humidity, MPU_acc_x, MPU_acc_y, MPU_acc_z, GYRO_x, GYRO_y, GYRO_z, MAG_x, MAG_y, MAG_z, MPX_pressure
4726047,0.33,-0.32,0.87,0.97,14779.63,-5.01,12166.33,85.77,0.32,-0.6,0.66,-3.35,8.6,-8.54,125.87,-40.64,43.64,0.39
4727048,0.34,-0.32,0.88,0.97,14782.53,-5,12160.07,85.74,0.33,-0.6,0.67,-9.51,24.02,-25.12,119.94,-56.18,44.79,0.39
4728047,0.36,-0.34,0.87,0.97,14785.7,-5,12153.22,85.75,0.34,-0.61,0.66,-15.55,35.24,-34.39,100.94,-64.55,53.98,0.39
4729048,0.34,-0.34,0.85,0.97,14787.71,-5,12148.87,85.71,0.33,-0.61,0.66,-7.62,11.77,-11.52,89.06,-56.18,70.05,0.39
4730047,0.34,-0.32,0.88,0.97,14790.2,-5,12143.49,85.77,0.33,-0.6,0.66,6.65,-11.83,16.4,87.87,-57.38,71.2,0.39
4731047,0.34,-0.34,0.87,0.97,14793.51,-4.99,12136.34,85.73,0.32,-0.61,0.65,-2.44,3.41,0.24,92.62,-59.77,62.02,0.39
4732048,0.33,-0.32,0.87,0.97,14795.76,-4.99,12131.48,85.74,0.32,-0.6,0.66,-3.05,4.63,-2.62,92.62,-63.35,60.87,0.39
4733047,0.34,-0.34,0.84,0.97,14798.32,-4.99,12125.96,85.75,0.32,-0.61,0.63,1.22,0.85,2.74,93.81,-59.77,59.72,0.39
4734048,0.34,-0.34,0.85,0.97,14801.5,-4.98,12119.11,85.73,0.33,-0.6,0.64,-2.74,9.33,-4.82,95,-62.16,63.16,0.39
4735047,0.34,-0.34,0.87,0.97,14803.72,-4.98,12114.31,85.75,0.33,-0.61,0.65,10.73,-17.56,28.05,95,-60.96,63.16,0.39
4736049,0.33,-0.32,0.88,0.97,14805.63,-4.98,12110.19,85.74,0.32,-0.6,0.67,9.15,-18.9,25.73,105.69,-59.77,53.98,0.39
4737047,0.33,-0.34,0.88,0.97,14809.7,-4.97,12101.41,85.77,0.31,-0.62,0.67,-4.88,6.22,-3.9,117.56,-56.18,49.38,0.39
4738048,0.34,-0.35,0.87,0.97,14811.69,-4.98,12097.14,85.74,0.32,-0.62,0.65,-10.55,20.67,-21.95,109.25,-64.55,52.83,0.39
4739047,0.33,-0.34,0.87,0.97,14815.19,-4.98,12089.61,85.74,0.32,-0.61,0.65,-5.98,13.84,-14.7,99.75,-68.13,56.27,0.39
4740048,0.34,-0.32,0.87,0.97,14816.38,-4.97,12085.28,85.75,0.32,-0.6,0.64,-5.91,16.34,-16.1,91.44,-68.13,63.16,0.39
4741047,0.33,-0.32,0.87,0.97,14820.62,-4.96,12077.91,85.77,0.32,-0.59,0.65,-3.11,9.94,-7.44,84.31,-60.96,67.76,0.39
4742047,0.33,-0.32,0.85,0.97,14822.47,-4.96,12073.93,85.75,0.32,-0.6,0.64,2.87,-8.41,11.46,84.31,-59.77,70.05,0.39
4743047,0.33,-0.31,0.87,0.97,14824.97,-4.95,12067.37,85.75,0.31,-0.59,0.65,-8.17,12.13,-12.2,89.06,-66.94,62.02,0.39
4744048,0.34,-0.34,0.87,0.97,14827.79,-4.95,12062.51,85.74,0.33,-0.61,0.65,-12.93,21.22,-23.48,81.94,-58.57,72.35,0.39
4745048,0.34,-0.34,0.87,0.97,14830.81,-4.95,12055.88,85.77,0.33,-0.62,0.65,0.85,-5.73,9.45,81.94,-54.98,72.35,0.39
4746048,0.34,-0.34,0.88,0.97,14831.94,-4.94,12053.6,85.73,0.33,-0.61,0.66,-3.23,7.32,-1.95,83.12,-58.57,70.05,0.39
4747047,0.34,-0.34,0.87,0.97,14833.86,-4.94,12049.47,85.74,0.33,-0.61,0.66,6.4,-8.11,17.13,86.69,-58.57,68.91,0.39
4748048,0.33,-0.32,0.88,0.97,14837.84,-4.94,12040.92,85.77,0.32,-0.6,0.68,14.09,-28.9,37.32,97.37,-62.16,58.57,0.39
4749047,0.33,-0.34,0.88,0.97,14840.08,-4.93,12036.13,85.77,0.31,-0.61,0.66,-2.32,2.26,-0.49,109.25,-64.55,51.68,0.39
4750049,0.34,-0.32,0.87,0.97,14842.31,-4.93,12031.34,85.73,0.32,-0.59,0.65,-16.22,28.41,-32.56,97.37,-68.13,57.42,0.39
4751048,0.33,-0.31,0.85,0.97,14846.47,-4.93,12022.42,85.77,0.33,-0.58,0.63,-9.02,8.6,-11.16,89.06,-68.13,64.31,0.39
4752048,0.34,-0.32,0.82,0.97,14847.57,-4.92,12020.07,85.73,0.33,-0.6,0.61,-3.11,-0.43,5.18,90.25,-65.74,59.72,0.39
4753048,0.34,-0.34,0.85,0.97,14849.74,-4.92,12015.43,85.74,0.33,-0.62,0.64,10.79,-11.77,22.93,104.5,-63.35,52.83,0.39
4754049,0.33,-0.34,0.91,0.97,14851.6,-4.92,12011.45,85.73,0.32,-0.61,0.7,12.13,-21.71,17.56,112.81,-59.77,49.38,0.39
4755048,0.36,-0.32,0.89,0.97,14853.9,-4.91,12006.51,85.73,0.33,-0.59,0.67,-21.59,47.5,-54.39,110.44,-65.74,49.38,0.39
4756048,0.39,-0.28,0.94,0.97,14854.97,-4.91,12004.22,85.75,0.36,-0.55,0.72,-40.91,80.73,-98.23,78.37,-62.16,70.05,0.39
4757049,0.37,-0.36,0.88,0.97,14855,-4.9,12004.16,85.73,0.36,-0.64,0.67,-11.1,34.21,-42.5,81.94,-20.32,83.84,0.39
4758048,0.33,-0.36,0.85,0.97,14863,-4.9,11987.05,85.74,0.32,-0.62,0.65,1.89,-1.34,2.2,84.31,-14.34,81.54,0.39
4759049,0.31,-0.28,0.88,0.97,14865.27,-4.9,11982.19,85.73,0.3,-0.55,0.67,-5,-3.84,10.24,84.31,-21.52,82.69,0.39
4760049,0.34,-0.3,0.85,0.97,14868.73,-4.89,11974.45,85.73,0.33,-0.57,0.64,-32.07,50.3,-56.89,109.25,-8.37,71.2,0.39
4761050,0.37,-0.34,0.87,0.98,14870.07,-4.89,11969.81,85.77,0.35,-0.61,0.65,-30.12,64.27,-70.55,127.06,-39.45,44.79,0.39
4762048,0.37,-0.32,0.91,0.98,14873.14,-4.88,11965.32,85.74,0.35,-0.59,0.7,-33.66,51.65,-53.72,106.87,-66.94,52.83,0.39
4763048,0.39,-0.34,0.88,0.98,14875.35,-4.88,11960.67,85.77,0.36,-0.61,0.67,-34.63,76.28,-93.66,78.37,-54.98,73.5,0.39
4764049,0.34,-0.32,0.94,0.98,14879.74,-4.88,11951.31,85.75,0.32,-0.59,0.72,4.7,-9.21,14.15,90.25,-8.37,82.69,0.39
4765048,0.33,-0.31,0.91,0.98,14882.5,-4.88,11945.41,85.74,0.32,-0.57,0.69,-2.32,10.67,-20.3,99.75,-4.78,75.8,0.39
4766049,0.33,-0.26,0.88,0.98,14886.62,-4.88,11936.64,85.73,0.31,-0.53,0.67,-17.56,23.6,-36.89,111.62,-9.56,67.76,0.39
4767048,0.34,-0.28,0.87,0.98,14889.6,-4.87,11930.3,85.74,0.33,-0.55,0.66,-30.43,63.29,-77.13,125.87,-39.45,49.38,0.39
4768049,0.33,-0.32,0.84,0.98,14892.79,-4.88,11923.51,85.73,0.32,-0.59,0.64,-1.52,1.04,-6.95,96.19,-62.16,63.16,0.39
4769049,0.39,-0.32,0.88,0.98,14895.7,-4.87,11917.32,85.73,0.36,-0.6,0.67,-27.07,66.95,-75.18,76,-43.03,79.24,0.39
4770049,0.34,-0.32,0.88,0.98,14897.18,-4.86,11914.16,85.77,0.33,-0.6,0.68,2.07,-3.96,8.78,81.94,-14.34,82.69,0.39
4771049,0.34,-0.32,0.91,0.98,14899.82,-4.86,11908.56,85.73,0.32,-0.59,0.69,-2.62,4.76,-7.07,77.19,-27.49,84.98,0.39
4772048,0.34,-0.34,0.85,0.98,14902.31,-4.85,11903.25,85.74,0.33,-0.61,0.64,-15.24,31.22,-37.26,85.5,-20.32,80.39,0.39
4773049,0.34,-0.34,0.85,0.98,14904.74,-4.85,11898.09,85.74,0.34,-0.6,0.63,-9.27,9.02,-10.3,103.31,-13.15,74.65,0.39
4774048,0.34,-0.32,0.85,0.98,14907.93,-4.84,11891.32,85.75,0.33,-0.59,0.64,-13.72,23.41,-27.26,109.25,-13.15,70.05,0.39
4775049,0.34,-0.31,0.87,0.98,14913.56,-4.85,11879.36,85.77,0.33,-0.6,0.63,-12.07,25.55,-19.21,123.5,-16.73,53.98,0.39
4776049,0.34,-0.32,0.88,0.98,14916.24,-4.85,11873.68,85.73,0.33,-0.59,0.67,-10.18,19.02,-11.71,130.63,-29.88,43.64,0.39
4777049,0.34,-0.37,0.85,0.98,14918.74,-4.84,11868.38,85.73,0.34,-0.64,0.65,-5.79,19.33,-13.48,128.25,-43.03,40.2,0.39
4778049,0.34,-0.35,0.88,0.98,14920.16,-4.84,11865.36,85.74,0.34,-0.63,0.67,-0.85,10.43,-4.33,129.44,-38.25,44.79,0.39
4779049,0.33,-0.32,0.88,0.98,14923.67,-4.83,11857.92,85.73,0.32,-0.6,0.67,-5.12,15.79,-12.68,125.87,-44.23,44.79,0.39
4780049,0.33,-0.32,0.84,0.98,14926.91,-4.83,11851.95,85.77,0.32,-0.6,0.62,-1.65,8.23,-7.38,122.31,-52.59,48.23,0.39
4781048,0.33,-0.31,0.84,0.98,14930.39,-4.83,11843.69,85.73,0.31,-0.58,0.62,2.01,-10.61,10.91,117.56,-57.38,47.09,0.39
4782048,0.34,-0.32,0.85,0.98,14930.84,-4.82,11842.66,85.74,0.32,-0.6,0.64,7.13,-23.78,28.84,129.44,-37.05,41.34,0.39
4783048,0.36,-0.32,0.88,0.98,14933.49,-4.82,11837.13,85.75,0.33,-0.59,0.66,22.2,-57.8,68.78,121.12,-7.17,55.13,0.39
4784049,0.34,-0.32,0.89,0.98,14935.58,-4.82,11832.7,85.85,0.33,-0.59,0.69,14.02,-39.27,52.87,84.31,-16.73,81.54,0.39
4785049,0.36,-0.31,0.91,0.98,14938.75,-4.82,11826,85.75,0.34,-0.57,0.71,23.48,-55.91,74.39,95,-58.57,65.46,0.39
4786050,0.37,-0.31,0.91,0.98,14940.18,-4.81,11822.98,85.77,0.34,-0.57,0.71,31.83,-65.55,89.76,122.31,-40.64,49.38,0.39
4787050,0.36,-0.3,0.89,0.98,14944.62,-4.81,11813.61,85.74,0.34,-0.55,0.69,27.93,-62.07,83.78,96.19,-16.73,76.95,0.39
4788049,0.36,-0.26,0.88,0.98,14945.59,-4.81,11811.55,85.77,0.34,-0.53,0.67,36.46,-71.65,90.49,83.12,-46.62,74.65,0.39
4789049,0.34,-0.28,0.88,0.98,14949.92,-4.8,11802.41,85.73,0.32,-0.55,0.66,26.1,-58.72,67.32,116.37,-56.18,49.38,0.39
4790049,0.34,-0.34,0.84,0.98,14953.03,-4.8,11795.84,85.74,0.33,-0.61,0.64,8.17,-17.99,29.63,127.06,-17.93,52.83,0.39
4791050,0.34,-0.32,0.92,0.98,14954.15,-4.8,11793.48,85.73,0.33,-0.59,0.7,17.38,-20.06,17.93,92.62,-7.17,81.54,0.39
4792049,0.36,-0.34,0.89,0.98,14956.49,-4.8,11788.55,85.73,0.34,-0.62,0.68,2.2,-23.48,19.33,79.56,-23.91,81.54,0.39
4793050,0.34,-0.37,0.84,0.98,14960.2,-4.79,11780.73,85.78,0.33,-0.64,0.65,-9.94,9.7,-16.77,86.69,-13.15,81.54,0.39
4794049,0.34,-0.31,0.89,0.98,14961.35,-4.79,11778.3,85.75,0.32,-0.58,0.68,5.24,-13.9,24.33,84.31,-31.08,82.69,0.39
4795049,0.34,-0.34,0.85,0.98,14964.08,-4.79,11771.66,85.75,0.33,-0.62,0.65,-13.54,34.82,-29.39,87.87,-17.93,81.54,0.39
4796050,0.36,-0.3,0.85,0.98,14968.52,-4.79,11763.19,85.74,0.33,-0.57,0.61,-29.45,62.62,-70,116.37,-4.78,59.72,0.39
4797049,0.33,-0.28,0.87,0.98,14969.78,-4.78,11760.53,85.74,0.31,-0.55,0.65,-20.91,43.84,-42.32,123.5,-51.4,40.2,0.39
4798050,0.39,-0.27,0.88,0.98,14972.73,-4.78,11754.34,85.74,0.35,-0.54,0.68,-49.09,89.51,-114.51,85.5,-72.91,59.72,0.39
4799049,0.37,-0.3,0.92,0.98,14974.65,-4.77,11750.29,85.75,0.33,-0.54,0.73,-36.46,70.37,-96.1,102.12,1.2,72.35,0.39
4800049,0.39,-0.27,0.96,0.98,14975.7,-4.76,11748.23,85.74,0.35,-0.54,0.76,-30.3,88.96,-105.37,119.94,-49.01,51.68,0.39
4801050,0.34,-0.28,0.92,0.98,14976.72,-4.76,11745.94,85.77,0.32,-0.54,0.71,-24.39,57.74,-68.84,92.62,-56.18,68.91,0.39
4802050,0.36,-0.34,0.92,0.98,14980.23,-4.77,11738.56,85.75,0.34,-0.59,0.72,-30.79,62.32,-78.05,80.75,-46.62,78.09,0.39
4803050,0.36,-0.34,0.89,0.98,14982.61,-4.75,11733.56,85.74,0.34,-0.6,0.69,-14.02,46.22,-43.66,93.81,-8.37,80.39,0.39
4804049,0.36,-0.32,0.85,0.98,14986.12,-4.75,11726.18,85.74,0.34,-0.6,0.65,-20.55,52.74,-57.74,112.81,-3.59,65.46,0.39
4805050,0.33,-0.26,0.88,0.98,14989.88,-4.75,11718.29,85.77,0.31,-0.53,0.66,14.02,-49.27,56.89,114,-1.2,63.16,0.39
4806050,0.33,-0.31,0.85,0.98,14992.16,-4.75,11713.5,85.77,0.31,-0.58,0.65,1.95,-32.62,40.24,102.12,-10.76,74.65,0.39
4807050,0.37,-0.18,0.99,0.98,14994.24,-4.74,11709.15,85.78,0.33,-0.46,0.75,30.49,-79.82,95.73,89.06,-27.49,80.39,0.39
4808050,0.34,-0.31,0.88,0.98,14999.66,-4.74,11697.79,85.74,0.32,-0.58,0.67,14.27,-39.94,42.13,103.31,-63.35,55.13,0.39
4809050,0.39,-0.31,0.92,0.98,15000.85,-4.73,11695.29,85.75,0.35,-0.58,0.71,39.57,-73.66,91.83,125.87,-28.69,51.68,0.39
4810050,0.37,-0.4,0.84,0.98,15004.37,-4.73,11687.91,85.74,0.36,-0.69,0.66,13.72,-45.18,63.23,122.31,-8.37,58.57,0.39
4811051,0.34,-0.35,0.89,0.98,15007.37,-4.73,11681.64,85.77,0.33,-0.6,0.7,9.27,-25.85,33.84,98.56,2.39,72.35,0.39
4812050,0.39,-0.22,0.91,0.98,15010.04,-4.73,11676.04,85.75,0.34,-0.5,0.69,42.07,-100.43,131.22,76,-51.4,75.8,0.39
4813050,0.33,-0.26,0.89,0.98,15013.29,-4.73,11669.26,85.73,0.31,-0.53,0.67,20.49,-34.09,63.05,125.87,-40.64,42.49,0.39
4814050,0.36,-0.25,0.94,0.98,15015.79,-4.72,11664.02,85.77,0.33,-0.51,0.72,36.04,-78.41,96.89,92.62,-7.17,79.24,0.39
4815050,0.34,-0.34,0.85,0.98,15018.29,-4.72,11656.72,85.75,0.33,-0.62,0.64,1.52,5.79,11.28,79.56,-46.62,75.8,0.39
4816050,0.36,-0.32,0.91,0.98,15020.3,-4.72,11650.75,85.75,0.35,-0.58,0.7,21.34,-35.91,52.38,86.69,-60.96,64.31,0.39
4817050,0.36,-0.34,0.89,0.98,15025.17,-4.72,11644.41,85.75,0.33,-0.61,0.68,16.1,-38.11,55.55,118.75,-56.18,45.94,0.39
4818051,0.34,-0.34,0.88,0.98,15028.46,-4.71,11637.55,85.77,0.33,-0.6,0.68,11.89,-32.99,48.72,124.69,-21.52,53.98,0.39
4819050,0.36,-0.28,0.89,0.98,15031.22,-4.71,11631.8,85.75,0.33,-0.56,0.69,31.46,-60.49,80.49,92.62,-8.37,81.54,0.39
4820050,0.34,-0.31,0.84,0.98,15032.88,-4.71,11628.26,85.77,0.33,-0.59,0.62,14.09,-39.57,63.72,77.19,-49.01,80.39,0.39
4821050,0.34,-0.32,0.85,0.98,15036.06,-4.7,11621.77,85.78,0.32,-0.58,0.62,27.32,-42.44,60.37,90.25,-56.18,68.91,0.39
4822050,0.33,-0.37,0.8,0.98,15039.74,-4.71,11614.02,85.78,0.32,-0.65,0.6,0.91,-2.56,11.4,100.94,-59.77,59.72,0.39
4823051,0.34,-0.41,0.78,0.98,15041.33,-4.7,11610.71,85.74,0.34,-0.7,0.58,-8.11,-0.49,0.61,115.19,-56.18,49.38,0.39
4824051,0.33,-0.35,0.88,0.98,15044.45,-4.7,11604.22,85.78,0.33,-0.63,0.68,-1.52,-8.41,9.88,121.12,-54.98,42.49,0.39
4825052,0.33,-0.32,0.87,0.98,15046.57,-4.7,11599.8,85.74,0.32,-0.59,0.65,-20.43,42.8,-50.61,115.19,-64.55,42.49,0.39
4826050,0.37,-0.28,0.89,0.98,15051.46,-4.69,11589.62,85.77,0.35,-0.54,0.69,-35.06,70.49,-83.84,87.87,-71.72,56.27,0.39
4827052,0.37,-0.28,0.88,0.98,15055.65,-4.68,11580.91,85.77,0.35,-0.54,0.67,-38.23,68.6,-92.62,87.87,-10.76,80.39,0.39
4828051,0.36,-0.27,0.89,0.98,15056.61,-4.68,11578.93,85.75,0.34,-0.54,0.69,-32.07,62.32,-85,121.12,-23.91,57.42,0.39
4829050,0.33,-0.27,0.89,0.98,15059.76,-4.68,11572.36,85.78,0.31,-0.54,0.68,-8.96,16.65,-17.68,116.37,-53.79,51.68,0.39
4830051,0.34,-0.3,0.88,0.98,15061.08,-4.67,11569.63,85.75,0.32,-0.57,0.65,-16.28,50.61,-50.55,89.06,-57.38,67.76,0.39
4831050,0.39,-0.31,0.89,0.98,15064.03,-4.67,11563.52,85.78,0.36,-0.58,0.69,-38.66,103.48,-111.22,85.5,-17.93,80.39,0.39
4832052,0.34,-0.36,0.85,0.98,15065.77,-4.67,11559.9,85.78,0.33,-0.63,0.65,-20.73,39.51,-48.84,125.87,-13.15,52.83,0.39
4833050,0.34,-0.36,0.82,0.98,15068.19,-4.67,11554.88,85.74,0.34,-0.66,0.62,-11.16,32.99,-40.61,131.81,-35.86,42.49,0.39
4834050,0.33,-0.34,0.87,0.98,15070.74,-4.66,11549.57,85.75,0.32,-0.62,0.66,-5.79,18.23,-14.88,122.31,-46.62,45.94,0.39
4835051,0.34,-0.37,0.81,0.98,15073.73,-4.67,11541.61,85.78,0.33,-0.64,0.61,-5.73,29.94,-27.26,114,-57.38,53.98,0.39
4836050,0.34,-0.34,0.85,0.98,15075.3,-4.66,11540.14,85.78,0.32,-0.61,0.65,0.3,-2.07,7.87,111.62,-53.79,56.27,0.39
4837051,0.33,-0.31,0.88,0.98,15077.93,-4.65,11534.68,85.75,0.32,-0.58,0.67,-6.65,0.73,3.05,118.75,-54.98,49.38,0.39
4838050,0.34,-0.36,0.84,0.98,15082.73,-4.65,11524.72,85.75,0.33,-0.64,0.62,-18.35,26.95,-36.59,117.56,-58.57,42.49,0.39
4839051,0.36,-0.34,0.87,0.98,15083.52,-4.64,11523.1,85.8,0.34,-0.61,0.67,-19.88,37.68,-43.9,97.37,-70.52,53.98,0.39
4840051,0.36,-0.32,0.88,0.98,15085.37,-4.64,11519.26,85.78,0.35,-0.6,0.67,-20.24,39.21,-42.38,72.44,-49.01,78.09,0.39
4841051,0.36,-0.35,0.85,0.98,15087.94,-4.64,11514.1,85.75,0.34,-0.63,0.65,-17.01,30.3,-33.6,81.94,-21.52,82.69,0.39
4842052,0.34,-0.32,0.84,0.98,15092.11,-4.64,11505.33,85.77,0.32,-0.6,0.63,-14.76,27.62,-33.35,98.56,-9.56,75.8,0.39
4843051,0.33,-0.28,0.85,0.98,15094.89,-4.64,11499.57,85.74,0.32,-0.55,0.63,-13.17,38.84,-34.82,109.25,-7.17,67.76,0.39
4844051,0.33,-0.32,0.82,0.98,15096,-4.64,11497.29,85.8,0.31,-0.6,0.61,-12.56,23.17,-18.48,129.44,-11.95,50.53,0.39
4845050,0.33,-0.35,0.85,0.98,15099.03,-4.63,11491.02,85.75,0.32,-0.63,0.66,14.39,-33.6,31.1,128.25,-14.34,47.09,0.39
4846051,0.33,-0.35,0.89,0.98,15100.57,-4.63,11487.85,85.77,0.32,-0.62,0.69,0.67,-5.73,3.48,119.94,-9.56,58.57,0.39
4847050,0.36,-0.34,0.88,0.98,15101.71,-4.63,11485.48,85.74,0.35,-0.62,0.66,-6.34,22.2,-24.88,125.87,-25.1,52.83,0.39
4848051,0.36,-0.37,0.82,0.98,15105.46,-4.62,11477.74,85.78,0.35,-0.66,0.62,3.35,-5.98,12.93,122.31,-40.64,50.53,0.39
4849052,0.36,-0.35,0.87,0.98,15106.93,-4.63,11474.72,85.75,0.34,-0.61,0.65,12.8,-37.2,51.34,124.69,-25.1,55.13,0.39
4850051,0.34,-0.28,0.89,0.98,15109.9,-4.62,11468.59,85.75,0.32,-0.55,0.68,31.22,-72.32,83.6,86.69,-19.12,80.39,0.39
4851051,0.33,-0.32,0.82,0.98,15112.68,-4.61,11462.84,85.78,0.32,-0.6,0.63,9.39,-24.15,43.72,83.12,-52.59,72.35,0.39
4852051,0.33,-0.31,0.85,0.98,15114.22,-4.61,11459.68,85.77,0.32,-0.58,0.63,9.45,-6.16,14.27,92.62,-56.18,65.46,0.39
4853052,0.34,-0.32,0.89,0.98,15117.44,-4.61,11453.04,85.74,0.33,-0.59,0.69,20.37,-50.24,61.1,105.69,-59.77,57.42,0.39
4854051,0.34,-0.37,0.85,0.98,15118.34,-4.61,11451.19,85.75,0.33,-0.65,0.65,6.22,-21.46,32.13,123.5,-45.42,43.64,0.39
4855051,0.34,-0.34,0.89,0.98,15121.03,-4.61,11444.77,85.75,0.34,-0.61,0.7,0.85,-3.29,9.15,130.63,-19.12,49.38,0.39
4856051,0.36,-0.36,0.85,0.98,15122.46,-4.6,11442.71,85.8,0.34,-0.65,0.64,0.18,5.55,-2.8,125.87,-10.76,51.68,0.39
4857052,0.33,-0.34,0.84,0.98,15126.36,-4.6,11434.67,85.78,0.32,-0.61,0.64,1.52,2.13,1.16,119.94,-7.17,58.57,0.39
4858051,0.33,-0.31,0.87,0.98,15128.77,-4.6,11429.72,85.77,0.32,-0.57,0.66,-0.79,-7.07,14.76,115.19,-3.59,64.31,0.39
4859052,0.33,-0.32,0.85,0.98,15131.57,-4.6,11423.97,85.74,0.32,-0.59,0.64,-4.15,2.32,3.78,116.37,-2.39,64.31,0.39
4860052,0.33,-0.32,0.88,0.99,15134.94,-4.59,11418.74,85.78,0.32,-0.6,0.68,4.09,-12.13,12.93,108.06,-1.2,68.91,0.39
4861051,0.34,-0.32,0.87,0.99,15135.8,-4.59,11415.27,85.74,0.33,-0.61,0.66,-9.45,18.78,-22.07,118.75,-8.37,58.57,0.39
4862052,0.36,-0.35,0.87,0.99,15138.49,-4.58,11409.73,85.74,0.35,-0.61,0.66,-17.93,46.28,-48.29,127.06,-44.23,43.64,0.39
4863051,0.36,-0.35,0.87,0.99,15141.94,-4.58,11402.65,85.74,0.35,-0.62,0.66,-16.83,27.56,-27.99,112.81,-59.77,50.53,0.39
4864052,0.34,-0.32,0.87,0.99,15144.75,-4.58,11396.9,85.78,0.33,-0.6,0.66,22.26,-43.54,55.61,116.37,-52.59,50.53,0.39
4865051,0.33,-0.34,0.82,0.99,15146.83,-4.58,11392.62,85.77,0.31,-0.61,0.61,5,-8.35,10.24,119.94,-41.84,52.83,0.39
4866053,0.34,-0.31,0.85,0.99,15150.86,-4.57,11384.36,85.78,0.32,-0.58,0.63,-24.45,41.95,-54.21,122.31,-44.23,53.98,0.39
4867051,0.34,-0.32,0.87,0.99,15153.31,-4.57,11379.34,85.78,0.32,-0.58,0.65,-16.77,28.41,-38.54,106.87,-62.16,55.13,0.39
4868051,0.37,-0.34,0.88,0.99,15155.83,-4.57,11374.18,85.75,0.35,-0.61,0.67,-28.9,56.77,-74.82,81.94,-54.98,72.35,0.39
4869053,0.36,-0.31,0.91,0.99,15157.19,-4.57,11371.38,85.77,0.34,-0.57,0.7,-17.8,38.11,-47.93,79.56,-16.73,81.54,0.39
4870052,0.36,-0.34,0.88,0.99,15160.83,-4.56,11363.93,85.74,0.34,-0.6,0.67,-20.79,46.52,-53.17,105.69,-3.59,72.35,0.39
4871052,0.34,-0.32,0.89,0.99,15163.32,-4.56,11358.84,85.75,0.34,-0.6,0.68,-15.67,35.24,-45.79,122.31,-17.93,59.72,0.39
4872051,0.34,-0.32,0.87,0.99,15169.48,-4.56,11346.22,85.75,0.32,-0.6,0.66,-18.84,45.67,-54.02,119.94,-45.42,52.83,0.39
4873053,0.34,-0.32,0.87,0.99,15172.23,-4.56,11340.62,85.74,0.33,-0.59,0.66,-19.94,42.93,-52.44,104.5,-58.57,60.87,0.39
4874052,0.34,-0.34,0.85,0.99,15173.96,-4.55,11337.08,85.78,0.33,-0.61,0.66,-18.29,38.84,-46.46,84.31,-47.81,74.65,0.39
4875053,0.36,-0.34,0.88,0.99,15176.49,-4.55,11331.91,85.78,0.34,-0.6,0.66,-11.34,35.18,-38.29,84.31,-26.3,81.54,0.39
4876053,0.36,-0.35,0.85,0.99,15178.4,-4.55,11325.2,85.77,0.35,-0.62,0.65,-11.59,32.32,-32.38,92.62,-7.17,80.39,0.39
4877052,0.34,-0.34,0.87,0.99,15183.82,-4.55,11316.94,85.74,0.33,-0.6,0.65,-1.34,2.32,-1.83,99.75,-3.59,74.65,0.39
4878052,0.34,-0.32,0.85,0.99,15185.34,-4.55,11313.84,85.78,0.33,-0.6,0.64,-5.85,4.45,-5.49,98.56,-9.56,73.5,0.39
4879052,0.34,-0.31,0.82,0.99,15188.02,-4.54,11308.38,85.8,0.33,-0.59,0.61,0.43,-6.22,12.44,102.12,-13.15,75.8,0.39
4880052,0.34,-0.31,0.81,0.99,15187.48,-4.54,11301.08,85.77,0.32,-0.57,0.6,13.23,-35.79,48.11,92.62,-13.15,80.39,0.39
4881052,0.34,-0.28,0.87,0.99,15193.01,-4.53,11298.2,85.74,0.32,-0.54,0.65,28.96,-64.02,82.74,85.5,-45.42,76.95,0.39
4882052,0.34,-0.3,0.89,0.99,15197.43,-4.53,11289.13,85.78,0.33,-0.57,0.69,16.52,-49.09,65.49,115.19,-57.38,50.53,0.39
4883052,0.36,-0.32,0.88,0.99,15199.75,-4.53,11284.48,85.78,0.34,-0.59,0.67,18.78,-32.8,54.21,124.69,-14.34,55.13,0.39
4884054,0.36,-0.32,0.91,0.99,15201.89,-4.53,11281.61,85.75,0.34,-0.59,0.7,19.27,-41.46,56.22,85.5,-9.56,81.54,0.39
4885052,0.37,-0.35,0.88,0.99,15202.14,-4.52,11279.61,85.78,0.35,-0.63,0.68,26.16,-53.41,77.93,81.94,-52.59,74.65,0.39
4886051,0.36,-0.32,0.91,0.99,15204.75,-4.52,11274.3,85.77,0.35,-0.59,0.7,26.65,-53.78,66.4,105.69,-64.55,53.98,0.39
4887053,0.36,-0.31,0.89,0.99,15207.11,-4.52,11269.5,85.74,0.34,-0.58,0.67,20.12,-47.13,60.91,128.25,-32.27,47.09,0.39
4888052,0.34,-0.31,0.85,0.99,15210.02,-4.52,11263.6,85.77,0.33,-0.58,0.64,21.46,-37.5,54.09,104.5,-5.98,71.2,0.39
4889053,0.34,-0.3,0.87,0.99,15212.95,-4.52,11257.62,85.75,0.32,-0.57,0.65,25.24,-53.05,62.2,71.25,-35.86,82.69,0.39
4890052,0.34,-0.34,0.84,0.99,15216.26,-4.51,11250.91,85.78,0.32,-0.61,0.63,9.94,-26.71,37.26,92.62,-75.3,53.98,0.39
4891049,0.34,-0.35,0.85,0.99,15217.75,-4.51,11247.89,85.78,0.33,-0.62,0.64,11.04,-5.18,22.2,99.75,-70.52,52.83,0.39
